gull1,,,,,
branta_canadensis,,,,,
meleagris_gallopavo,,,,,
eurasian_oystercatcher,,,,,
nene_goose,,,,,
larus_michaellis,,,,,
canada_goose_,,,,,
northern_goshawk,,,,,
song_thrush,,,,,
tundra_bean_goose,,,,,
barnacle_goose,,,,,
grey_heron,,,,,
larus_canus,,,,,
broiler,,,,,
thalasseus_sandvicensis,,,,,
white-tailed_sea_eagle,,,,,
shag,,,,,
gallinula_chloropus,,,,,
sparrowhawk,,,,,
yellow_leggend-gull,,,,,
white_fronted_goose,,,,,
wild_bird_feces,,,,,
little_tern,,,,,
long-tailed_skua,,,,,
eurasian_sparrowhawk,,,,,
sea_eagle,,,,,
western-cattle-egret,,,,,
whooper_swan,,,,,
spot_billed_duck,,,,,
steamer_duck,,,,,
_eurasian_magpie,,,,,
hawaiian_goose,,,,,
artic_tern,,,,,
eurasian_teal,,,,,
anas_crecca,,,,,
cygnus-olor,,,,,
eastern_buzzard,,,,,
phasianus_colchicus,,,,,
buzzard,,,,,
corvus_corvus,,,,,
garrulus_glandarius,,,,,
common_coot,,,,,
egret,,,,,
mallard_duck,,,,,
rook,,,,,
western_jackdaw,,,,,
eagle_owl,,,,,
lesser_black-backed_gull,,,,,
chlidonias_hybrida,,,,,
chicken_,,,,,
oyster_catcher,,,,,
seagull,,,,,
haematopus_ostralegus,,,,,
common_shelduck,,,,,
decoy_duck,,,,,
mew_gull,,,,,
red_kite,,,,,
black-swan,,,,,
eurasian_eagle-owl_,,,,,
eurasian_magpie,,,,,
black-headead_gull,,,,,
mallard_denmark,,,,,
thick-billed_murre,,,,,
cygnus_columbianus,,,,,
anser_anser,,,,,
mountain_hawk-eagle,,,,,
spoonbill,,,,,
common_pheasant,,,,,
laying_hen,,,,,
yellow_legged_gull,,,,,
wildbird,,,,,
anser_brachyrhynchus_anser_anser,,,,,
cygnus_cygnus,,,,,
eurasian-spoonbill,,,,,
common_kestrel,,,,,
white-tailed_eagle,,,,,
raxorbill,,,,,
von_schrenck's_bittern,,,,,
harris's_hawk,,,,,
eurasian_coot,,,,,
layer,,,,,
